Structural Parameters,Expt.,Ortuno,"$(1,A)^*$","$(3,A)^*$","$(3,C)^*$","$(1,A)^*$","$(3,A)^*$","$(3,C)^*$","$(1,A)^*$","$(3,A)^*$","$(3,C)^*$"
Fe(1)−N(1),0.0,-0.028969999978514904,-0.014239999999736463,0.009732000000000074,0.09790327163633772,-0.02898799967480281,-0.04442899894521224,0.06611302075942138,-0.047026999999732144,-0.05558299643513798,-0.07972476403103568
Fe(1)−N(2),0.0,0.09291690912142259,0.10897146063006269,0.20690022559664945,0.1816736662330216,0.09293168281492559,0.09547742171463747,0.16668005116419637,0.05102557814758524,0.09734476070682185,0.09636341269793891
Fe(1)−N(3),0.0,0.03091708227148593,0.04697146040863465,0.14490022534651548,0.13845705147378817,0.030932667750741105,0.03338991119985968,0.21281852194513862,-0.010974421928483302,0.0353401967566187,-0.014564323770718923
Fe(1)−N(4),0.0,0.006302000062316404,0.20742500039871947,0.1000160000000001,0.5559012605419364,0.00622700072068505,0.012594012519913322,0.07795149050634764,0.059732000001076146,0.029867015007378983,0.07998439191175821
N(4)−N(5),0.0,0.0069780000057830804,-0.029281999882322163,-0.020282999983587402,-0.032039093925960715,0.006939000117889282,0.004948023046522643,0.006520203458309171,-0.012221999998189848,-0.007562992599850382,-0.014106278170920028
N(1)−C(2),0.0,-0.004248562066082595,0.01814937627009172,-0.03456753168786908,0.018994575945187053,-0.004202012896720397,-0.0088349315998415,-0.005338163802747431,0.009839800656636033,-0.023251535830913772,0.0030431608419234646
N(3)−C(8),0.0,-0.002249522583402941,0.020149376485927073,-0.032567532449649494,0.01942503842297527,-0.002202009179742115,-0.006821100191438889,-0.02380198014827828,0.011839800666607614,-0.02123200875664799,0.020038800707968152
N(2)−C(3),0.0,-0.00546102728064235,-0.014001579822454424,-0.008137603707335073,-0.0171035283488985,-0.0054712260219647035,0.0002695144901241342,0.0007154140364071804,-0.010189646035521749,-0.003710669326588034,-0.0022179782867448594
N(2)−C(7),0.0,-0.007461424880190748,-0.016001579905050356,-0.010137603782232496,-0.02084324225462275,-0.007472101836682787,-0.0017260212979306466,-0.014174497696777255,-0.012189646048391234,-0.00571263734856986,0.005851658710762653
C(2)−C(3),0.0,-0.012106818787553708,-0.017492196825971806,0.00929769435889205,-0.013703283717585002,-0.012108670181445236,-0.015403915654686129,-0.01382605501642975,-0.015688828360880924,-0.0034788995204420026,-0.017147191170499232
C(7)−C(8),0.0,-0.004105409231830004,-0.009492196840031664,0.017297694358892057,-0.006254651744568962,-0.004108670363531797,-0.00739872334256253,0.009215680978735596,-0.0076888283496472365,0.0044939968447483825,-0.026121645624700207
N(1)−Fe(1)−N(2),0.0,-0.7867222530758369,0.6176952481802118,-2.405938044270087,-1.9237391467341922,-0.786614989819995,-0.9361797029665269,-2.3455172810289753,0.6517217322192295,-0.7467451883400003,0.8696862541299879
N(1)−Fe(1)−N(3),0.0,-0.6434736792818967,2.165390490384965,-3.8818760904078147,-3.5244495005443923,-0.6432856585285549,-0.9412173108409263,-12.108489196632434,2.2334434607561775,-0.5630608947506346,2.3396364659964206
N(1)−Fe(1)−N(4),0.0,1.1567222526305585,-0.24769522436959335,2.7759380442700916,7.247122744343315,1.156677126463947,1.304108391662993,16.724768387334365,-0.28172173311079973,1.1215094736280378,1.157873974465204
N(2)−Fe(1)−N(3),0.0,-0.6067514151468174,0.7976952460755342,-2.225938045704126,-2.223393282054772,-0.6066706572815974,-0.7550370562048556,-4.612941827484775,0.8317217322674111,-0.5663156246345835,0.719950339581743
N(2)−Fe(1)−N(4),0.0,10.579797495401607,10.578827593751384,10.580000000000013,-20.601060341023754,10.579441692089972,10.57153437056084,-36.829283445196154,10.579907662100709,10.569832569112407,8.922438403644662
N(3)−Fe(1)−N(4),0.0,1.5267514131075615,0.12230473398014396,3.145938045704142,-3.784879866109222,1.5266085262628195,1.6771088381176043,-3.157680075058707,0.08827826802479422,1.4815513768344601,-1.4575105017007388
